2016-12-23 12:41:23,294 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,295 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,295 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,296 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,296 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,296 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,295 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,294 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,295 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,297 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,297 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:23,297 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:41:31,270 | INFO  | handle message missed, do insert by default! | com.geovis.duplex.handle.AbstractDataHandle | Thread-8
2016-12-23 12:42:23,093 | INFO  | Successfully connected to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task
2016-12-23 12:42:23,210 | ERROR | javax.jms.JMSException: Durable consumer is in use for client: jdbc:oracle:thin:@192.168.56.198:1521:pdg_GFGXDB_WM and subscriptionName: GFGXDB_WM_1.GFGX_R_SJCP_CPYXX_CPFL | com.geovis.duplex.activemq.receive.SynchronousReceive | Thread-28
