2017-06-12 21:07:08,390 | DEBUG | Returning cached instance of singleton bean 'lifecycleProcessor' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,390 | TRACE | Publishing event in WebApplicationContext for namespace 'dispatcher-servlet': org.springframework.context.event.ContextRefreshedEvent[source=WebApplicationContext for namespace 'dispatcher-servlet': startup date [Mon Jun 12 21:07:08 GMT+08:00 2017]; parent: Root WebApplicationContext] | org.springframework.web.context.support.XmlWebApplicationContext | GFGXDB.TEST1
2017-06-12 21:07:08,391 | TRACE | No bean named 'multipartResolver' found in org.springframework.beans.factory.support.DefaultListableBeanFactory@1f5315fa: defining beans [queueBrowser,messageQuery,queueConsumerQuery,connectionQuery,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,brokerQuery,sessionPool,connectionFactory]; root of factory hierarchy | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,393 | DEBUG | Unable to locate MultipartResolver with name 'multipartResolver': no multipart request handling provided | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,393 | TRACE | No bean named 'localeResolver' found in org.springframework.beans.factory.support.DefaultListableBeanFactory@1f5315fa: defining beans [queueBrowser,messageQuery,queueConsumerQuery,connectionQuery,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,brokerQuery,sessionPool,connectionFactory]; root of factory hierarchy | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,394 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,394 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,394 | DEBUG | Unable to locate LocaleResolver with name 'localeResolver': using default [org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver@186f2d69] | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,394 | TRACE | No bean named 'themeResolver' found in org.springframework.beans.factory.support.DefaultListableBeanFactory@1f5315fa: defining beans [queueBrowser,messageQuery,queueConsumerQuery,connectionQuery,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,brokerQuery,sessionPool,connectionFactory]; root of factory hierarchy | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,395 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.theme.FixedThemeResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,395 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.theme.FixedThemeResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,395 | DEBUG | Unable to locate ThemeResolver with name 'themeResolver': using default [org.springframework.web.servlet.theme.FixedThemeResolver@14d712fd] | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,395 | DEBUG | Creating instance of bean 'handlerMapping' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.Throwable | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.Throwable from null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.Exception | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.Exception from null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.UnsupportedOperationException | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded class java.lang.UnsupportedOperationException from null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded interface javax.servlet.ServletRequest | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,397 | DEBUG | loaded interface javax.servlet.ServletRequest from sun.misc.Launcher$AppClassLoader@c387f44 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,399 | DEBUG | Looking for URL mappings in application context: WebApplicationContext for namespace 'dispatcher-servlet': startup date [Mon Jun 12 21:07:08 GMT+08:00 2017]; parent: Root WebApplicationContext | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | DEBUG | Rejected bean name 'handlerMapping': no URL paths identified | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/createDestination.action] onto handler [/createDestination.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/deleteDestination.action] onto handler [/deleteDestination.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
2017-06-12 21:07:08,399 | INFO  | Mapped URL path [/createSubscriber.action] onto handler [/createSubscriber.action] | org.apache.activemq.web.handler.BindingBeanNameUrlHandlerMapping | GFGXDB.TEST1
